,pval,stat,qval
Lag1eROIv_vs_FC,0.0115988401159884,-0.1536456896075271,0.028817118288171184
Lag1eROIv_vs_FC_zED,9.999000099990002e-05,-0.15109189309310958,0.0005499450054994501
Lag1eROIv_FCK_vs_FC_zED,9.999000099990002e-05,-0.15923524860574817,0.0005499450054994501
Lag1eROIv_FCK_RE_vs_FC_zED,0.0028997100289971,-0.07920014665181863,0.010632270106322702
Lag1eROIv_vs_SC,0.030396960303969604,-0.12190701596198276,0.055727760557277614
Lag1eROIv_vs_SC_zED,0.013098690130986902,-0.10007299970885986,0.028817118288171184
Lag1eROIv_vs_SC_zED_bin,0.0785921407859214,-9.98188909285308,0.12350193552073363
Lag1eROIv_SCK_vs_SC_zED,0.12048795120487951,-0.06178779811101891,0.1472630514726305
Lag1eROIv_SCK_vs_SC_zED_bin,0.0898910108989101,-9.053817603882244,0.12360013998600139
Lag1eROIv_SCK_RE_vs_SC_zED,0.6883311668833116,-0.015381271521111154,0.6883311668833116
Lag1eROIv_SCK_RE_vs_SC_zED_bin,0.2980701929807019,-4.474486384150596,0.32787721227877215
