,pval,stat,qval
Lag1eROIv_vs_FC,0.015498450154984501,-0.20289599331921132,0.04262073792620738
Lag1eROIv_vs_FC_zED,9.999000099990002e-05,-0.18227364563385973,0.0005499450054994501
Lag1eROIv_FCK_vs_FC_zED,9.999000099990002e-05,-0.16490464657515033,0.0005499450054994501
Lag1eROIv_FCK_RE_vs_FC_zED,0.008099190080991902,-0.07611563285136735,0.02969703029697031
Lag1eROIv_vs_SC,0.20627937206279373,-0.0729330124953251,0.32415329895581874
Lag1eROIv_vs_SC_zED,0.5026497350264973,-0.027362765835564264,0.6143496761434967
Lag1eROIv_vs_SC_zED_bin,0.10268973102689731,-9.796964470251238,0.22591740825917409
Lag1eROIv_SCK_vs_SC_zED,0.6978302169783022,-0.016218287359119336,0.6978302169783022
Lag1eROIv_SCK_vs_SC_zED_bin,0.16008399160083991,-8.618445964280728,0.2934873179348732
Lag1eROIv_SCK_RE_vs_SC_zED,0.6085391460853915,-0.019959979988466697,0.6693930606939307
Lag1eROIv_SCK_RE_vs_SC_zED_bin,0.29227077292270776,-4.628792814452066,0.40187231276872315
