,r-value
sc_pc_0.5,0.13841108585021378
sc_pc_0.6,0.11804106711110693
sc_pc_0.7,0.039603392634555604
sc_pc_0.8,0.03123638604162504
sc_pc_0.9,0.15804264227594217
sc_pc_1.0,0.2818198130936719
sc_pc_1.1,0.25763569380532714
sc_pc_1.2,0.3071944699284262
sc_pc_1.3,0.31668130506224984
sc_pc_1.4,0.3354279695039698
sc_pc_1.5,0.3097549053178691
sc_pc_1.6,0.2995298531623287
sc_pc_1.7,0.2949912348184841
sc_pc_1.8,0.32138799463216133
sc_pc_1.9,0.33150301513450486
sc_pc_2.0,0.3656261605130814
sc_pc_2.1,0.3123599252180948
sc_pc_2.2,0.3065557341515978
sc_pc_2.3,0.3331498202535483
sc_pc_2.4,0.3066531035592033
sc_pc_2.5,0.34442261369026345
sc_pc_2.6,0.3669296638522506
sc_pc_2.7,0.3601968172622562
sc_pc_2.8,0.3676339215497073
sc_pc_2.9,0.37121363044543104
sc_pc_3.0,0.35555852115108266
sc_pc_3.1,0.3514564796327733
sc_pc_3.2,0.35269127788644494
sc_pc_3.3,0.3770361952868011
sc_pc_3.4,0.3722240154782931
sc_pc_3.5,0.37587023716064377
fc_pc_0.5,-0.05413757236164495
fc_pc_0.6,-0.05442404093594928
fc_pc_0.7,-0.05442404093594928
fc_pc_0.8,-0.061352137562096336
fc_pc_0.9,-0.06632945297738985
fc_pc_1.0,-0.08422915487481969
fc_pc_1.1,-0.09690429535982548
fc_pc_1.2,-0.07507994903200833
fc_pc_1.3,-0.036048012310800986
fc_pc_1.4,-0.036048012310800986
fc_pc_1.5,-0.05738753172464587
fc_pc_1.6,-0.08685528538992006
fc_pc_1.7,-0.1014309001177732
fc_pc_1.8,-0.11443528699195005
fc_pc_1.9,-0.08036437577379696
fc_pc_2.0,-0.10590761667627883
fc_pc_2.1,-0.14976682020050217
fc_pc_2.2,-0.1432605289450051
fc_pc_2.3,-0.132110332441515
fc_pc_2.4,-0.12002572625646409
fc_pc_2.5,-0.15179738247616206
fc_pc_2.6,-0.1896686017604746
fc_pc_2.7,-0.17752290744751734
fc_pc_2.8,-0.18181071478418265
fc_pc_2.9,-0.15861410693545178
fc_pc_3.0,-0.12893543204967226
fc_pc_3.1,-0.11920808354436764
fc_pc_3.2,-0.08541243703238881
fc_pc_3.3,-0.10772089385414209
fc_pc_3.4,-0.07692572982086064
fc_pc_3.5,-0.06568637401253881
sc_wd_0.5,0.4095213609076802
sc_wd_0.6,0.4082373161032944
sc_wd_0.7,0.24363494337031175
sc_wd_0.8,0.25576779803253435
sc_wd_0.9,0.30284374476143594
sc_wd_1.0,0.2819179814860202
sc_wd_1.1,0.2949559401566055
sc_wd_1.2,0.2801528286742137
sc_wd_1.3,0.28028228109315656
sc_wd_1.4,0.2798813148684892
sc_wd_1.5,0.26949356196148394
sc_wd_1.6,0.26427146115659383
sc_wd_1.7,0.2673145210994891
sc_wd_1.8,0.24584271889823475
sc_wd_1.9,0.29808753367089885
sc_wd_2.0,0.2862351226410906
sc_wd_2.1,0.25770093189269455
sc_wd_2.2,0.27219245219337296
sc_wd_2.3,0.25743752705972806
sc_wd_2.4,0.26397850198094575
sc_wd_2.5,0.21602359486136818
sc_wd_2.6,0.2520054423371844
sc_wd_2.7,0.25281597089600344
sc_wd_2.8,0.266606412370534
sc_wd_2.9,0.2607039088955248
sc_wd_3.0,0.2669727402207457
sc_wd_3.1,0.2556315459786419
sc_wd_3.2,0.26003933540077395
sc_wd_3.3,0.20643192914072495
sc_wd_3.4,0.22009422519391758
sc_wd_3.5,0.22577389643425197
fc_wd_0.5,0.3314771812647524
fc_wd_0.6,0.32822730611457973
fc_wd_0.7,0.32822730611457973
fc_wd_0.8,0.2961078002396744
fc_wd_0.9,0.29745276444622265
fc_wd_1.0,0.3514415014276231
fc_wd_1.1,0.33836461192172607
fc_wd_1.2,0.38425535683716516
fc_wd_1.3,0.37537311874016077
fc_wd_1.4,0.37537311874016077
fc_wd_1.5,0.37367036630387895
fc_wd_1.6,0.24629703226952956
fc_wd_1.7,0.31784535933924457
fc_wd_1.8,0.3637257585850478
fc_wd_1.9,0.2987593304140846
fc_wd_2.0,0.22702754096466013
fc_wd_2.1,0.27755693313807317
fc_wd_2.2,0.27746158627584816
fc_wd_2.3,0.30058091286843414
fc_wd_2.4,0.3129658525667753
fc_wd_2.5,0.28961369517198793
fc_wd_2.6,0.3534844065197104
fc_wd_2.7,0.3321133192821423
fc_wd_2.8,0.3342754132862782
fc_wd_2.9,0.3516620216566227
fc_wd_3.0,0.32072219203308644
fc_wd_3.1,0.2834613929802443
fc_wd_3.2,0.24443907322155256
fc_wd_3.3,0.27119204837925587
fc_wd_3.4,0.21667228705068778
fc_wd_3.5,0.24595196178453882
sc_strength,0.419440361197367
fc_strength,0.3845563415372619
myelin,0.09427736366086174
thickness,-0.348983585077792
