,q-value
sc_pc_0.5,0.1334479885344799
sc_pc_0.6,0.17322918870903606
sc_pc_0.7,0.4454665644546656
sc_pc_0.8,0.48246603911037467
sc_pc_0.9,0.47971930079719305
sc_pc_1.0,0.08185848081858481
sc_pc_1.1,0.1334479885344799
sc_pc_1.2,0.08959104089591041
sc_pc_1.3,0.086007399260074
sc_pc_1.4,0.06573888065738881
sc_pc_1.5,0.09919008099190081
sc_pc_1.6,0.09079846732307902
sc_pc_1.7,0.09121996891219969
sc_pc_1.8,0.06626892866268928
sc_pc_1.9,0.0469286404692864
sc_pc_2.0,0.036844800368448005
sc_pc_2.1,0.11696061163114457
sc_pc_2.2,0.11231980250250838
sc_pc_2.3,0.08006007909847314
sc_pc_2.4,0.1728617261730617
sc_pc_2.5,0.0607195094444044
sc_pc_2.6,0.03764329449408001
sc_pc_2.7,0.0469286404692864
sc_pc_2.8,0.036844800368448005
sc_pc_2.9,0.034556544345565446
sc_pc_3.0,0.05471452854714528
sc_pc_3.1,0.0607195094444044
sc_pc_3.2,0.05837465033984406
sc_pc_3.3,0.0469286404692864
sc_pc_3.4,0.0469286404692864
sc_pc_3.5,0.0327078403270784
fc_pc_0.5,0.3027775653807168
fc_pc_0.6,0.3027775653807168
fc_pc_0.7,0.3027775653807168
fc_pc_0.8,0.5869448142905008
fc_pc_0.9,0.8217802219778022
fc_pc_1.0,0.6117788221177882
fc_pc_1.1,0.7871212878712129
fc_pc_1.2,0.9364396893643969
fc_pc_1.3,0.7230747999580207
fc_pc_1.4,0.7230747999580207
fc_pc_1.5,0.6274626774610675
fc_pc_1.6,0.17322918870903606
fc_pc_1.7,0.21340474648187355
fc_pc_1.8,0.2971131458282743
fc_pc_1.9,0.16686331366863313
fc_pc_2.0,0.11696061163114457
fc_pc_2.1,0.4418548799325675
fc_pc_2.2,0.4611061829596857
fc_pc_2.3,0.6274626774610675
fc_pc_2.4,0.6274626774610675
fc_pc_2.5,0.5502317024934675
fc_pc_2.6,0.41731211494235193
fc_pc_2.7,0.429843808072023
fc_pc_2.8,0.42430804538593764
fc_pc_2.9,0.29799040297990403
fc_pc_3.0,0.48246603911037467
fc_pc_3.1,0.6713412692344211
fc_pc_3.2,0.7997135770293938
fc_pc_3.3,0.7908152274203474
fc_pc_3.4,0.9458054194580542
fc_pc_3.5,0.9398493221543988
sc_wd_0.5,0.034556544345565446
sc_wd_0.6,0.036844800368448005
sc_wd_0.7,0.23477652234776522
sc_wd_0.8,0.20913952560787877
sc_wd_0.9,0.07567938858288084
sc_wd_1.0,0.10957500741153954
sc_wd_1.1,0.11696061163114457
sc_wd_1.2,0.11696061163114457
sc_wd_1.3,0.11732160117321601
sc_wd_1.4,0.1334479885344799
sc_wd_1.5,0.136912624527021
sc_wd_1.6,0.1334479885344799
sc_wd_1.7,0.14521624760600862
sc_wd_1.8,0.17322918870903606
sc_wd_1.9,0.09121996891219969
sc_wd_2.0,0.11696061163114457
sc_wd_2.1,0.11696061163114457
sc_wd_2.2,0.11696061163114457
sc_wd_2.3,0.15407066888247883
sc_wd_2.4,0.19025513179019174
sc_wd_2.5,0.3198437437809617
sc_wd_2.6,0.2271092039732197
sc_wd_2.7,0.23477652234776522
sc_wd_2.8,0.17322918870903606
sc_wd_2.9,0.19009008190090082
sc_wd_3.0,0.1334479885344799
sc_wd_3.1,0.18197720457839275
sc_wd_3.2,0.14521624760600862
sc_wd_3.3,0.2588772050629988
sc_wd_3.4,0.22349592997689477
sc_wd_3.5,0.1334479885344799
fc_wd_0.5,0.1334479885344799
fc_wd_0.6,0.1334479885344799
fc_wd_0.7,0.1334479885344799
fc_wd_0.8,0.086007399260074
fc_wd_0.9,0.023628406390130217
fc_wd_1.0,0.0034905600349056003
fc_wd_1.1,0.003047314316187429
fc_wd_1.2,0.08883817500602881
fc_wd_1.3,0.0035836416358364163
fc_wd_1.4,0.0035836416358364163
fc_wd_1.5,0.0010665600106656002
fc_wd_1.6,0.0010665600106656002
fc_wd_1.7,0.0010665600106656002
fc_wd_1.8,0.0010665600106656002
fc_wd_1.9,0.0010665600106656002
fc_wd_2.0,0.0014220800142208001
fc_wd_2.1,0.0010665600106656002
fc_wd_2.2,0.0014220800142208001
fc_wd_2.3,0.0014220800142208001
fc_wd_2.4,0.0010665600106656002
fc_wd_2.5,0.0035836416358364163
fc_wd_2.6,0.0014220800142208001
fc_wd_2.7,0.0014220800142208001
fc_wd_2.8,0.0014220800142208001
fc_wd_2.9,0.0010665600106656002
fc_wd_3.0,0.0010665600106656002
fc_wd_3.1,0.0010665600106656002
fc_wd_3.2,0.0010665600106656002
fc_wd_3.3,0.0010665600106656002
fc_wd_3.4,0.0025597440255974405
fc_wd_3.5,0.002020850546524295
sc_strength,0.0469286404692864
fc_strength,0.17322918870903606
myelin,0.19183859391838595
thickness,0.034556544345565446
