,r-value
sc_pc_0.5,0.21002536401063288
sc_pc_0.6,0.19339479836168771
sc_pc_0.7,0.10272539185324639
sc_pc_0.8,0.09258672926154322
sc_pc_0.9,0.09916774837874022
sc_pc_1.0,0.20068512607666053
sc_pc_1.1,0.16057364932961243
sc_pc_1.2,0.2211852442135571
sc_pc_1.3,0.22754715636406894
sc_pc_1.4,0.2458489313590841
sc_pc_1.5,0.2091528372984082
sc_pc_1.6,0.21135000826764552
sc_pc_1.7,0.21426712385178193
sc_pc_1.8,0.2316683307688923
sc_pc_1.9,0.2653080531562267
sc_pc_2.0,0.2823261720801776
sc_pc_2.1,0.21575768957560093
sc_pc_2.2,0.21869838331136415
sc_pc_2.3,0.2424039472258276
sc_pc_2.4,0.19130553417302898
sc_pc_2.5,0.2525664224765594
sc_pc_2.6,0.244722622690841
sc_pc_2.7,0.24167642999807942
sc_pc_2.8,0.2659134005351373
sc_pc_2.9,0.2707386042361793
sc_pc_3.0,0.24507704664290372
sc_pc_3.1,0.23719273083936673
sc_pc_3.2,0.2347824470529445
sc_pc_3.3,0.24419190962429949
sc_pc_3.4,0.23824965948446994
sc_pc_3.5,0.2461883300845939
fc_pc_0.5,0.1107485872592842
fc_pc_0.6,0.10919432380264935
fc_pc_0.7,0.10919432380264935
fc_pc_0.8,0.055630516980091686
fc_pc_0.9,0.028231802000935797
fc_pc_1.0,-0.0777037690200918
fc_pc_1.1,-0.050151545030827284
fc_pc_1.2,-0.013368101332584651
fc_pc_1.3,-0.07142712267124636
fc_pc_1.4,-0.07142712267124636
fc_pc_1.5,-0.11583904611004947
fc_pc_1.6,-0.23804865252988644
fc_pc_1.7,-0.1823824405336668
fc_pc_1.8,-0.18546082808936246
fc_pc_1.9,-0.20749069799790978
fc_pc_2.0,-0.24896713177011606
fc_pc_2.1,-0.15566163377311396
fc_pc_2.2,-0.14712539396772792
fc_pc_2.3,-0.0995593554367263
fc_pc_2.4,-0.0979102705881936
fc_pc_2.5,-0.12452723827762902
fc_pc_2.6,-0.1770142375182087
fc_pc_2.7,-0.16485862915846042
fc_pc_2.8,-0.16491384409463186
fc_pc_2.9,-0.20606949653636336
fc_pc_3.0,-0.13107366520946714
fc_pc_3.1,-0.08616931381400061
fc_pc_3.2,-0.05075954889080558
fc_pc_3.3,-0.055967131545480026
fc_pc_3.4,-0.013021691022344338
fc_pc_3.5,0.017456060261615326
sc_wd_0.5,0.245862450157347
sc_wd_0.6,0.24402442161533217
sc_wd_0.7,0.11215231039890323
sc_wd_0.8,0.11892512972870646
sc_wd_0.9,0.20249967632718863
sc_wd_1.0,0.17804150197902166
sc_wd_1.1,0.17850307764355286
sc_wd_1.2,0.19424932060035957
sc_wd_1.3,0.1895996995289292
sc_wd_1.4,0.1880517001433731
sc_wd_1.5,0.1923101846288598
sc_wd_1.6,0.19167080483273216
sc_wd_1.7,0.186791338064338
sc_wd_1.8,0.17019430768277416
sc_wd_1.9,0.21083241679342274
sc_wd_2.0,0.1988567313157704
sc_wd_2.1,0.1885137546858806
sc_wd_2.2,0.20624231623718958
sc_wd_2.3,0.1863311607556262
sc_wd_2.4,0.17009982765633236
sc_wd_2.5,0.12927592977243413
sc_wd_2.6,0.15097336104836237
sc_wd_2.7,0.14874374172522584
sc_wd_2.8,0.1579305672815392
sc_wd_2.9,0.15003003921812216
sc_wd_3.0,0.17478735054828942
sc_wd_3.1,0.15878957539601982
sc_wd_3.2,0.1661155306031058
sc_wd_3.3,0.13810965824415078
sc_wd_3.4,0.15409785277893445
sc_wd_3.5,0.16119841903504492
fc_wd_0.5,0.21070571417879805
fc_wd_0.6,0.20471826667537396
fc_wd_0.7,0.20471826667537396
fc_wd_0.8,0.19324915845494284
fc_wd_0.9,0.2216382669763792
fc_wd_1.0,0.2757088148244934
fc_wd_1.1,0.26389098659180055
fc_wd_1.2,0.2229432756686663
fc_wd_1.3,0.2925624246519936
fc_wd_1.4,0.2925624246519936
fc_wd_1.5,0.32823394537569917
fc_wd_1.6,0.28453093834785187
fc_wd_1.7,0.338439740232065
fc_wd_1.8,0.3683322749054291
fc_wd_1.9,0.33477297823804647
fc_wd_2.0,0.247239571478105
fc_wd_2.1,0.25070247621244196
fc_wd_2.2,0.2494760816647901
fc_wd_2.3,0.2730201174369012
fc_wd_2.4,0.2845778761775207
fc_wd_2.5,0.24514515041611815
fc_wd_2.6,0.32148821447508513
fc_wd_2.7,0.32917796311155745
fc_wd_2.8,0.319788353098073
fc_wd_2.9,0.3509605452012775
fc_wd_3.0,0.3325673809714976
fc_wd_3.1,0.2967520586256135
fc_wd_3.2,0.27677376774166434
fc_wd_3.3,0.3042817879529996
fc_wd_3.4,0.24191957677415846
fc_wd_3.5,0.25130621375902534
sc_strength,0.2694170611810326
fc_strength,0.300284605248411
myelin,0.3499366403427744
thickness,-0.4933134831591426
