,q-value
sc_pc_0.5,0.12221216902699975
sc_pc_0.6,0.1672180608026154
sc_pc_0.7,0.3401320245333957
sc_pc_0.8,0.4048187773815211
sc_pc_0.9,0.4129332521293325
sc_pc_1.0,0.04570971474281143
sc_pc_1.1,0.08137693693317234
sc_pc_1.2,0.05567443255674433
sc_pc_1.3,0.052337623380519095
sc_pc_1.4,0.041178490846567516
sc_pc_1.5,0.0596617261350788
sc_pc_1.6,0.05959404059594041
sc_pc_1.7,0.058711589158544464
sc_pc_1.8,0.041178490846567516
sc_pc_1.9,0.02732699703002673
sc_pc_2.0,0.0235976402359764
sc_pc_2.1,0.08810713131585392
sc_pc_2.2,0.0873324432262656
sc_pc_2.3,0.05567443255674433
sc_pc_2.4,0.13534278756032442
sc_pc_2.5,0.05567443255674433
sc_pc_2.6,0.034236576342365765
sc_pc_2.7,0.041178490846567516
sc_pc_2.8,0.030191852609610832
sc_pc_2.9,0.02732699703002673
sc_pc_3.0,0.041936231908724024
sc_pc_3.1,0.04581941805819418
sc_pc_3.2,0.043728960437289605
sc_pc_3.3,0.036567771794249145
sc_pc_3.4,0.04018202830879703
sc_pc_3.5,0.023658240236582403
fc_pc_0.5,0.6528422787973304
fc_pc_0.6,0.6528422787973304
fc_pc_0.7,0.6528422787973304
fc_pc_0.8,0.8297137499364817
fc_pc_0.9,0.8811662833716629
fc_pc_1.0,0.7358735200860079
fc_pc_1.1,0.6737459587374596
fc_pc_1.2,0.9145542138699516
fc_pc_1.3,0.33264483075501977
fc_pc_1.4,0.33264483075501977
fc_pc_1.5,0.4059190411234106
fc_pc_1.6,0.052337623380519095
fc_pc_1.7,0.331524129140484
fc_pc_1.8,0.05567443255674433
fc_pc_1.9,0.21574985358607
fc_pc_2.0,0.1583302343922911
fc_pc_2.1,0.5498878683560215
fc_pc_2.2,0.6066366814645969
fc_pc_2.3,0.6528422787973304
fc_pc_2.4,0.6528422787973304
fc_pc_2.5,0.3468811997304942
fc_pc_2.6,0.058711589158544464
fc_pc_2.7,0.04873358817964357
fc_pc_2.8,0.04873358817964357
fc_pc_2.9,0.004095590440955904
fc_pc_3.0,0.4737832523054001
fc_pc_3.1,0.6079392060793921
fc_pc_3.2,0.8811662833716629
fc_pc_3.3,0.8811662833716629
fc_pc_3.4,0.952004799520048
fc_pc_3.5,0.9051539290515392
sc_wd_0.5,0.02732699703002673
sc_wd_0.6,0.02732699703002673
sc_wd_0.7,0.22807319268073192
sc_wd_0.8,0.15955737759557376
sc_wd_0.9,0.05623044252951754
sc_wd_1.0,0.10291573582367791
sc_wd_1.1,0.10853979537111225
sc_wd_1.2,0.1076102916024187
sc_wd_1.3,0.10950016109500162
sc_wd_1.4,0.1232638640897815
sc_wd_1.5,0.10950016109500162
sc_wd_1.6,0.1023897610238976
sc_wd_1.7,0.10580275305802753
sc_wd_1.8,0.1232638640897815
sc_wd_1.9,0.066902400669024
sc_wd_2.0,0.10567591889459703
sc_wd_2.1,0.09590026912801677
sc_wd_2.2,0.09379633465224906
sc_wd_2.3,0.12902895756935934
sc_wd_2.4,0.17632279325258962
sc_wd_2.5,0.281069932222464
sc_wd_2.6,0.20117988201179882
sc_wd_2.7,0.2074184334143905
sc_wd_2.8,0.1583302343922911
sc_wd_2.9,0.170924842999571
sc_wd_3.0,0.10950016109500162
sc_wd_3.1,0.16568013528317496
sc_wd_3.2,0.127987201279872
sc_wd_3.3,0.23506560235065602
sc_wd_3.4,0.18969050463374718
sc_wd_3.5,0.10950016109500162
fc_wd_0.5,0.017753063403337085
fc_wd_0.6,0.017753063403337085
fc_wd_0.7,0.017753063403337085
fc_wd_0.8,0.0015998400159984002
fc_wd_0.9,0.002225864370084731
fc_wd_1.0,0.0015998400159984002
fc_wd_1.1,0.0018283885897124573
fc_wd_1.2,0.028965524500181562
fc_wd_1.3,0.0018283885897124573
fc_wd_1.4,0.0018283885897124573
fc_wd_1.5,0.0009845169329220924
fc_wd_1.6,0.005942262916565486
fc_wd_1.7,0.0018283885897124573
fc_wd_1.8,0.0009845169329220924
fc_wd_1.9,0.0015998400159984002
fc_wd_2.0,0.004430326198149415
fc_wd_2.1,0.002225864370084731
fc_wd_2.2,0.0018283885897124573
fc_wd_2.3,0.002666400026664
fc_wd_2.4,0.0009845169329220924
fc_wd_2.5,0.005214293385476267
fc_wd_2.6,0.0009845169329220924
fc_wd_2.7,0.0009845169329220924
fc_wd_2.8,0.0009845169329220924
fc_wd_2.9,0.0009845169329220924
fc_wd_3.0,0.0009845169329220924
fc_wd_3.1,0.0009845169329220924
fc_wd_3.2,0.0009845169329220924
fc_wd_3.3,0.0009845169329220924
fc_wd_3.4,0.0009845169329220924
fc_wd_3.5,0.0009845169329220924
sc_strength,0.050246827169134936
fc_strength,0.050246827169134936
myelin,0.22807319268073192
thickness,0.036567771794249145
