,r-value
sc_pc_0.5,0.210535053035488
sc_pc_0.6,0.19003376129560628
sc_pc_0.7,0.12333675518899283
sc_pc_0.8,0.10877226619129393
sc_pc_0.9,0.10988937845430234
sc_pc_1.0,0.22079411322041337
sc_pc_1.1,0.1854819343839234
sc_pc_1.2,0.23540931622810554
sc_pc_1.3,0.2422391065467177
sc_pc_1.4,0.25990962434461645
sc_pc_1.5,0.2253539353360018
sc_pc_1.6,0.22287864796045065
sc_pc_1.7,0.2276841252919962
sc_pc_1.8,0.2461521515663488
sc_pc_1.9,0.2831326648922815
sc_pc_2.0,0.29796384548646265
sc_pc_2.1,0.22310163511696438
sc_pc_2.2,0.2240137289476621
sc_pc_2.3,0.2490304857000839
sc_pc_2.4,0.19913583569723317
sc_pc_2.5,0.247202014968956
sc_pc_2.6,0.2465420153841731
sc_pc_2.7,0.24385775012915675
sc_pc_2.8,0.2649884218310352
sc_pc_2.9,0.27037760564959984
sc_pc_3.0,0.246864687660972
sc_pc_3.1,0.242187819084704
sc_pc_3.2,0.2408507432085547
sc_pc_3.3,0.2507882164866858
sc_pc_3.4,0.24111762745459636
sc_pc_3.5,0.24924539189123587
fc_pc_0.5,0.13279107360866602
fc_pc_0.6,0.13023153145482047
fc_pc_0.7,0.13023153145482047
fc_pc_0.8,0.05254582953814656
fc_pc_0.9,0.025989506953932404
fc_pc_1.0,-0.04661066202534205
fc_pc_1.1,-0.06321248635402095
fc_pc_1.2,0.022242163432422996
fc_pc_1.3,-0.1186985177791134
fc_pc_1.4,-0.1186985177791134
fc_pc_1.5,-0.19542093632928748
fc_pc_1.6,-0.2747160309103899
fc_pc_1.7,-0.15868480053874537
fc_pc_1.8,-0.19541151597431025
fc_pc_1.9,-0.20141952668022786
fc_pc_2.0,-0.23204100458760293
fc_pc_2.1,-0.10447868079780318
fc_pc_2.2,-0.09220211399060098
fc_pc_2.3,-0.08201530276700866
fc_pc_2.4,-0.0787280575359951
fc_pc_2.5,-0.14600343989631176
fc_pc_2.6,-0.2718162019339962
fc_pc_2.7,-0.2614365639360558
fc_pc_2.8,-0.25211512500182554
fc_pc_2.9,-0.33999054136827855
fc_pc_3.0,-0.11148285733840897
fc_pc_3.1,-0.09244101646871158
fc_pc_3.2,-0.02889662538737545
fc_pc_3.3,-0.02936821614836471
fc_pc_3.4,-0.010148600459887832
fc_pc_3.5,0.02420414708715804
sc_wd_0.5,0.248752574019434
sc_wd_0.6,0.24807819893794192
sc_wd_0.7,0.11100436931053614
sc_wd_0.8,0.1302259941910521
sc_wd_0.9,0.2010734558223558
sc_wd_1.0,0.1728688803686711
sc_wd_1.1,0.1747274348828126
sc_wd_1.2,0.19005480738936342
sc_wd_1.3,0.1858430969956314
sc_wd_1.4,0.18618213832006927
sc_wd_1.5,0.1974262344426695
sc_wd_1.6,0.20308458873248503
sc_wd_1.7,0.20003288581026385
sc_wd_1.8,0.1843787657095758
sc_wd_1.9,0.21171430292343318
sc_wd_2.0,0.19956725598355832
sc_wd_2.1,0.19323387028990874
sc_wd_2.2,0.21137345283928405
sc_wd_2.3,0.18979300290891063
sc_wd_2.4,0.17115186585015893
sc_wd_2.5,0.13761110991952127
sc_wd_2.6,0.15635459891432152
sc_wd_2.7,0.15532708697760722
sc_wd_2.8,0.16120159161822642
sc_wd_2.9,0.15342638129999753
sc_wd_3.0,0.178112213605258
sc_wd_3.1,0.16179339653773311
sc_wd_3.2,0.16864535477383855
sc_wd_3.3,0.14225732968303267
sc_wd_3.4,0.16177512135705188
sc_wd_3.5,0.16391930803024946
fc_wd_0.5,0.3997279004911594
fc_wd_0.6,0.39455550103102005
fc_wd_0.7,0.39455550103102005
fc_wd_0.8,0.3702629344697412
fc_wd_0.9,0.35863136309849036
fc_wd_1.0,0.4248423837344704
fc_wd_1.1,0.3743131482814786
fc_wd_1.2,0.3417628720905116
fc_wd_1.3,0.3544699293106438
fc_wd_1.4,0.3544699293106438
fc_wd_1.5,0.3713223740786487
fc_wd_1.6,0.3011533565652995
fc_wd_1.7,0.36279129729998927
fc_wd_1.8,0.42003740439403325
fc_wd_1.9,0.39853685980389614
fc_wd_2.0,0.2780567505705093
fc_wd_2.1,0.25872241654890027
fc_wd_2.2,0.2561425490025611
fc_wd_2.3,0.32750371793100064
fc_wd_2.4,0.33729789539172483
fc_wd_2.5,0.31315010146389605
fc_wd_2.6,0.3764918980816525
fc_wd_2.7,0.3671559463916204
fc_wd_2.8,0.3613597084063045
fc_wd_2.9,0.41201840306788495
fc_wd_3.0,0.40154011349893215
fc_wd_3.1,0.35810484037668794
fc_wd_3.2,0.3740191373210117
fc_wd_3.3,0.3448483639808736
fc_wd_3.4,0.314890827301936
fc_wd_3.5,0.327636447695419
sc_strength,0.25858469315762556
fc_strength,0.4745714293458538
myelin,0.31832163077475134
thickness,-0.4714117537559657
